ID_Casa,dire,lat,lon
763,Cafferatta 586,,
872,Alfonsina Storni 1555,-31.4917348,-60.7397846
868,Alfonsina Storni 1560,-31.4916865,-60.7398467
799,Calle presbitero Martinez 1575,-31.4873404,-60.7386133
796,Estanislao Lopez 607,-31.4873293,-60.7389192
682,Simon de Iriondo 688,-31.4896462,-60.7331658
869,Alfonsina Storni 1552,-31.4917098,-60.7397503
843,Mitre 1576,-31.4904369,-60.7396562
841,Mitre 1548,-31.4905213,-60.7393153
861,Martin guemes 900,,
842,Mitre 1506,-31.490648,-60.738804
838,Martin guemes 820,,
654,Sta Fe 1535,-31.4895345,-60.7388057
835,Sta Fe 1537,-31.4895284,-60.7388301
692,lehmann 1180,-31.4895031,-60.7341584
786,Mateo Booz 1585,-31.4862811,-60.7383848
694,lehmann 1190,-31.4894727,-60.7342791
601,Sta Fe 1414,-31.4898595,-60.7373436
784,Calle presbitero Martinez 1526,-31.4874462,-60.7380174
607,Sta Fe 1442,-31.4897775,-60.7376809
693,Lehmann 1156,-31.4895759,-60.7338686
608,Sta Fe 1414,-31.4898595,-60.7373436
793,Mateo Booz 1585,-31.4862811,-60.7383848
218,J. D. y Clucellas 1540,-31.492786,-60.7399512
234,Martin guemes 1060,,
219,J. D. y Clucellas 1568,-31.4927076,-60.7402941
220,J. D. y Clucellas 1526,-31.4928252,-60.7397798
277,Alfonsina Storni 1229,-31.4926926,-60.7358389
510,Belgrano 747,-31.4893621,-60.7369621
233,Martin guemes 1083,,
278,Alfonsina Storni 1293,-31.4925091,-60.7366038
265,Alfonsina Storni 1281,-31.4925435,-60.7364604
511,Belgrano 725,-31.4891292,-60.7368841
512,Lehmann 1389,,
198,Mitre 1700,-31.4900796,-60.7411299
209,Mitre 1700,-31.4900796,-60.7411299
191,Mitre 2315,-31.4905699,-60.7399902
190,Mitre 2345,-31.4905699,-60.7399902
208,Mitre 1900,-31.4900796,-60.7411299
210,Mitre,-31.4906845,-60.738724
173,Estanislao Lopez 730,,
177,Estanislao Lopez 722,,
294,Pje. de Martino 1179,-31.4933575,-60.7354053
295,Pje. de Martino 1055,-31.4935781,-60.7344578
292,Pje. de Martino 1155,-31.4934254,-60.7351138
296,Pje. de Martino 1115,-31.4935385,-60.7346279
297,J. D. y Clucellas 1124,-31.4940098,-60.7349055
293,J. D. y Clucellas 1174,-31.4938629,-60.7355177
729,Pje.  San Jose 1462,-31.4860823,-60.7367227
730,Pje.  San Jose 1422,-31.4861978,-60.736232
731,Pje.  San Jose 1480,-31.4860303,-60.7369435
131,Pje.  San Jose 1454,-31.4861054,-60.7366246
175,Estanislao Lopez 714,-31.4884245,-60.7393224
176,Estanislao Lopez 704,-31.488319,-60.7392879
646,Pje.  San Jose 1472,-31.4860534,-60.7368454
132,Pje.  san jose 1446,-31.4861285,-60.7365265
787,Calle presbitero Martinez 1548,-31.4873836,-60.738286
