ID_Casa,DIR,dire,lat,lon
353,Lehmann ,Lehmann ,-31.4907915,-60.7294971
502,Cafferatta 750,Cafferatta 750,-31.489695,-60.7357971
504,Lehmann 1329,Lehmann 1329,-31.48909,-60.7359597
510,Belgrano 747,Belgrano 747,-31.4893621,-60.7369621
511,Belgrano 725,Belgrano 725,-31.4891292,-60.7368841
512,Lehmann 1389,Lehmann 1389,-31.4888887,-60.7388691
513,Sta Fe 1370,Sta Fe 1370,-31.4899894,-60.736809
514,Sta Fe 1390,Sta Fe 1390,-31.4899301,-60.7370531
515,Sta Fe 1370,Sta Fe 1370,-31.4899894,-60.736809
517,Lehmann 1241,Lehmann 1241,-31.4893538,-60.7348946
518,Lehmann 1241,Lehmann 1241,-31.4893538,-60.7348946
519,J. R. Aldao 740,J. R. Aldao 740,-31.4898852,-60.7345512
521,J. R. Aldao 700,J. R. Aldao 700,-31.489467,-60.7344146
526,Cafferatta 756,Cafferatta 756,-31.4897582,-60.7358177
538,Lehmann 1272,Lehmann 1272,-31.4892274,-60.7352715
541,Lehmann 1272,Lehmann 1272,-31.4892274,-60.7352715
543,J. R. Aldao 692,J. R. Aldao 692,-31.4893845,-60.7343881
544,J. R. Aldao 666,J. R. Aldao 666,-31.4891169,-60.7343021
546,Mitre 1174,Mitre 1174,-31.4916058,-60.7347794
549,Calle presbitero Martinez 267,Calle presbitero Martinez 267,-31.4914032,-60.7243196
550,Calle presbitero Martinez 1275,Calle presbitero Martinez 1275,-31.4882268,-60.7349758
551,Calle presbitero Martinez 1285,Calle presbitero Martinez 1285,-31.4881975,-60.7350969
553,Calle presbitero Martinez 1339,Calle presbitero Martinez 1339,-31.4880373,-60.7357489
555,Lehmann 1366,Lehmann 1366,-31.4889444,-60.736409
556,Lehmann 1388,Lehmann 1388,-31.488878,-60.7366751
558,Calle presbitero Martinez 1337,Calle presbitero Martinez 1337,-31.4880432,-60.7357248
562,Lehmann 1366,Lehmann 1366,-31.4889444,-60.736409
